starid	chi2
6045478872173678208	420.137738
6045484266652772864	65.775786
6045482411226841472	3003.190087
6045477356033739136	20.410916
6045479078332149632	83.635425
6045478047540140544	42.472995
6045482857903447168	21.887994
6045479490649030272	48.900155
6045478288058130304	25.423989
6045477837079964928	237.792003
6045478734734712832	91.461069
6045478356777488256	70.806057
6045478730423545984	1055.063607
6045477910100852992	73.216934
6045502580393775360	220.525067
6045466399577821440	84.364384
6045489351894331776	115.378598
6045477807021629952	50.506892
6045466399587848704	41.577663
6045502305515873024	31.799745
6045490382686606208	1390.532584
6045503679905453184	27.651023
6045502477314585728	553.250043
6045466360918967424	531.460139
6045490726283969664	0.529384
6045490210887898368	54.663100
6045466120404792704	1760.734913
6045490103497000320	194.655480
6045466532721858048	16.316203
6045466326563296768	78.847127
6045466330868395776	286.675838
6045489042656695808	24.813090
6045506806641714816	44.786452
6045478356777481984	35.079194
6045501961918453504	1164.447672
6045478184978847616	112.454775
6045466674465880064	57.010234
6045477905795000448	39.253913
6045466292203527680	50.158233
6045478666015246592	73.450758
6045503057118542208	254.300237
6045478528576252288	176.331810
6045489901650196864	34.808626
6045489798570998144	57.265877
6045466571386686208	37.848250
6045465643673557760	26.824014
6045501996278180992	176.159392
6045477910100872576	57.370964
6045466429642657280	293.872735
6045466532721860224	92.850437
